ownership_model,baseline_holder_count,baseline_total_sats,baseline_hhi,baseline_nakamoto_33,alpha_percent,scenario,holder_count,post_total_sats,supply_diff_sats,hhi,nakamoto_33,delta_hhi,delta_nakamoto,hhi_direction,naka_direction
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,5.0,pi_T,37561,171831920736256.999999999,-0.000000001,0.00086364839163953846,9947,0.00083005829933350628,-1209,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,1.0,pi_I,37564,171831920736257.000000001,0.000000001,8.5077087853461226e-05,10929,5.1517597419895423e-05,-233,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,10.0,pi_I,37564,171831920736257.000000001,0.000000001,0.0035318992291861278,8603,0.0034983397387525618,-2559,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,0.5,pi_I,37564,171831920736256.999999999,-0.000000001,5.1031723130872354e-05,11046,1.7472232697306551e-05,-116,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,2.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00020288721337453642,10692,0.00016932772294097061,-470,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,5.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00095407275854500159,9950,0.0009205132681114358,-1212,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,1.0,pi_T,37567,171831920736257.000000001,0.000000001,6.6224989907283919e-05,10932,3.2665499473718116e-05,-230,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,10.0,pi_T,37567,171831920736257.000000001,0.000000001,0.0033605165205845308,8606,0.0033269570301509648,-2556,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,0.5,pi_T,37567,171831920736256.999999999,-0.000000001,4.155806784983723e-05,11049,7.9985774162714268e-06,-113,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,2.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00016556386794574227,10695,0.00013200437751217646,-467,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,5.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00086362077344963762,9953,0.00083006128301607183,-1209,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,0.5,pi_D,47264,171831920736257,0,3.3310582576406107e-05,11206,-3.3309569070655049e-07,57,IMPROVED,IMPROVED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,1.0,pi_D,47264,171831920736257,0,3.2984169069605004e-05,11263,-6.5950919750765353e-07,114,IMPROVED,IMPROVED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,2.0,pi_D,47264,171831920736257,0,3.2351388607742613e-05,11380,-1.2922896593700443e-06,231,IMPROVED,IMPROVED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,5.0,pi_D,47264,171831920736257,0,3.0613419636075983e-05,11746,-3.0302586310366748e-06,597,IMPROVED,IMPROVED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,10.0,pi_D,47264,171831920736257,0,2.8251379396367646e-05,12409,-5.3922988707450116e-06,1260,IMPROVED,IMPROVED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,0.5,pi_D,47270,171831920736257,0,3.3280285957617631e-05,11211,-3.3279043702871987e-07,57,IMPROVED,IMPROVED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,1.0,pi_D,47270,171831920736257,0,3.2954176174400755e-05,11269,-6.5890022024559647e-07,115,IMPROVED,IMPROVED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,2.0,pi_D,47270,171831920736257,0,3.232199856942595e-05,11386,-1.2910778252204011e-06,232,IMPROVED,IMPROVED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,5.0,pi_D,47270,171831920736257,0,3.058580144617511e-05,11751,-3.0272749484712408e-06,597,IMPROVED,IMPROVED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,10.0,pi_D,47270,171831920736257,0,2.8226591879669913e-05,12414,-5.3864845149764379e-06,1260,IMPROVED,IMPROVED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,0.5,pi_D,47558,171831920736257,0,3.3257531135292367e-05,11213,-3.3256117073976932e-07,57,IMPROVED,IMPROVED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,1.0,pi_D,47558,171831920736257,0,3.2931649469154814e-05,11271,-6.5844283687732229e-07,115,IMPROVED,IMPROVED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,2.0,pi_D,47558,171831920736257,0,3.2299924650725606e-05,11388,-1.2901676553065311e-06,232,IMPROVED,IMPROVED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,5.0,pi_D,47558,171831920736257,0,3.05650583062052e-05,11753,-3.0250339998269397e-06,597,IMPROVED,IMPROVED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,10.0,pi_D,47558,171831920736257,0,2.8207974767896425e-05,12416,-5.382117538135712e-06,1260,IMPROVED,IMPROVED
Address,37564,171831920736257,3.3559490433565803e-05,11162,0.5,pi_D,47564,171831920736257,0,3.3227234516503885e-05,11219,-3.3225591706191837e-07,57,IMPROVED,IMPROVED
Address,37564,171831920736257,3.3559490433565803e-05,11162,1.0,pi_D,47564,171831920736257,0,3.2901656573950559e-05,11276,-6.578338596152449e-07,114,IMPROVED,IMPROVED
Address,37564,171831920736257,3.3559490433565803e-05,11162,2.0,pi_D,47564,171831920736257,0,3.2270534612408936e-05,11393,-1.2889558211568675e-06,231,IMPROVED,IMPROVED
Address,37564,171831920736257,3.3559490433565803e-05,11162,5.0,pi_D,47564,171831920736257,0,3.0537440116304325e-05,11759,-3.0220503172614786e-06,597,IMPROVED,IMPROVED
Address,37564,171831920736257,3.3559490433565803e-05,11162,10.0,pi_D,47564,171831920736257,0,2.81831872511987e-05,12422,-5.3763031823671045e-06,1260,IMPROVED,IMPROVED
