tau_percent,alpha_percent,scenario,baseline_holder_count,holder_count,baseline_total_sats,post_total_sats,supply_diff_sats,baseline_hhi,hhi,delta_hhi,baseline_nakamoto,nakamoto,delta_nakamoto,naka_direction
25.0,0.5,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,5.1031723130872368e-05,1.7472232697306565e-05,8412,8283,-129,DETERIORATED
33.0,0.5,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,5.1031723130872368e-05,1.7472232697306565e-05,11162,11046,-116,DETERIORATED
50.0,0.5,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,5.1031723130872368e-05,1.7472232697306565e-05,17004,16918,-86,DETERIORATED
25.0,2.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00016556386794574232,0.00013200437751217651,8412,7889,-523,DETERIORATED
33.0,2.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00016556386794574232,0.00013200437751217651,11162,10695,-467,DETERIORATED
50.0,2.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00016556386794574232,0.00013200437751217651,17004,16656,-348,DETERIORATED
25.0,2.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00020288721337453639,0.00016932772294097058,8412,7886,-526,DETERIORATED
33.0,2.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00020288721337453639,0.00016932772294097058,11162,10692,-470,DETERIORATED
50.0,2.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00020288721337453639,0.00016932772294097058,17004,16653,-351,DETERIORATED
25.0,5.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00086362077344963762,0.00083006128301607183,8412,7059,-1353,DETERIORATED
33.0,5.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00086362077344963762,0.00083006128301607183,11162,9953,-1209,DETERIORATED
50.0,5.0,pi_T,37564,37567,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.00086362077344963762,0.00083006128301607183,17004,16103,-901,DETERIORATED
25.0,5.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.0009540727585450017,0.00092051326811143591,8412,7056,-1356,DETERIORATED
33.0,5.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.0009540727585450017,0.00092051326811143591,11162,9950,-1212,DETERIORATED
50.0,5.0,pi_I,37564,37564,171831920736257,171831920736256.999999999,-0.000000001,3.3559490433565803e-05,0.0009540727585450017,0.00092051326811143591,17004,16100,-904,DETERIORATED
