corrected_positive_addresses,corrected_total_sats,trackA_rows,trackA_distinct_addresses,trackA_duplicate_address_groups,matched_trackA_addresses,corrected_addresses_missing_from_trackA,trackA_addresses_not_in_corrected_positive,old_balance_mismatch_addresses,total_absolute_balance_difference_sats,common_input_member_addresses,public_label_member_addresses,union_bound_member_addresses,common_input_member_sats,public_label_member_sats,union_bound_member_sats,distinct_common_input_groups,distinct_public_label_actors,distinct_combined_entity_ids,min_mapping_snapshot_date,max_mapping_snapshot_date,mapping_version_count,bip30_address,bip30_old_trackA_balance_sats,bip30_corrected_balance_sats,bip30_balance_difference_sats,bip30_common_input_member,bip30_public_label_member,bip30_common_input_bound_group,bip30_public_label_actor,bip30_public_label_name,bip30_combined_entity_id
37564,171831920736257,37564,37564,0,37564,0,0,2,10000000000,295,7,302,41903925934,32564490000,74468415934,1,1,37264,2026-01-01,2026-01-01,1,16va6NxJrMGe5d2LP6wUzuVnzBBoKQZKom,10000000000,5000000000,5000000000,false,false,,,,SINGLETON_16va6NxJrMGe5d2LP6wUzuVnzBBoKQZKom
37564,171831920736257,37564,37564,0,37564,0,0,2,10000000000,295,7,302,41903925934,32564490000,74468415934,1,1,37264,2026-01-01,2026-01-01,1,1GktTvnY8KGfAS72DhzGYJRyaQNvYrK9Fg,10000000000,5000000000,5000000000,false,false,,,,SINGLETON_1GktTvnY8KGfAS72DhzGYJRyaQNvYrK9Fg
