population,baseline_holder_count,baseline_total_sats,baseline_hhi,baseline_nakamoto_33,alpha_percent,scenario,holder_count,post_total_sats,supply_diff_sats,hhi,nakamoto_33,delta_hhi,delta_nakamoto,hhi_direction,naka_direction
Top2000,2000,10898773057384,0.0015783490362944455,540,2.0,pi_T,2003,10898773057384.000000001,0.000000001,0.0016491797477905198,513,7.0830711496074322e-05,-27,DETERIORATED,DETERIORATED
Top2000,2000,10898773057384,0.0015783490362944455,540,5.0,pi_T,2003,10898773057384.000000001,0.000000001,0.0022577933385890714,466,0.00067944430229462593,-74,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,1.0,pi_I,37564,171831920736257.000000001,0.000000001,8.5077087853461213e-05,10929,5.1517597419882866e-05,-233,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,10.0,pi_I,37564,171831920736257.000000001,0.000000001,0.0035318992291861282,8603,0.00349833973875255,-2559,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,1.0,pi_T,37567,171831920736257.000000001,0.000000001,6.6224989907283878e-05,10932,3.2665499473705532e-05,-230,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,10.0,pi_T,37567,171831920736257.000000001,0.000000001,0.0033605165205845317,8606,0.0033269570301509535,-2556,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,1.0,pi_I,500,3398773057383.999999999,-0.000000001,0.013711608699773264,41,0.00072806721268272971,-4,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,10.0,pi_I,500,3398773057383.999999999,-0.000000001,0.022514605164626559,13,0.0095310636775360249,-32,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,1.0,pi_T,503,3398773057383.999999999,-0.000000001,0.012758502344830766,44,-0.000225039142259768,-1,IMPROVED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,10.0,pi_T,503,3398773057383.999999999,-0.000000001,0.013850001937876662,16,0.00086646045078612836,-29,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,0.5,pi_I,1000,5898773057383.999999999,-0.000000001,0.0049073300494113818,206,0.00023772264027799132,-4,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,2.0,pi_I,1000,5898773057383.999999999,-0.000000001,0.0057052575273916408,194,0.0010356501182582504,-16,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,5.0,pi_I,1000,5898773057383.999999999,-0.000000001,0.0076825304905105965,169,0.003012923081377206,-41,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,0.5,pi_T,1003,5898773057383.999999999,-0.000000001,0.0046313614085606207,209,-3.8246000572769723e-05,-1,IMPROVED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,2.0,pi_T,1003,5898773057383.999999999,-0.000000001,0.0046180242890650411,197,-5.1583120068349371e-05,-13,IMPROVED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,5.0,pi_T,1003,5898773057383.999999999,-0.000000001,0.005047654020076218,172,0.00037804661094282752,-38,DETERIORATED,DETERIORATED
Top2000,2000,10898773057384,0.0015783490362944455,540,1.0,pi_I,2000,10898773057383.999999999,-0.000000001,0.001877498625503864,525,0.00029914958920941852,-15,DETERIORATED,DETERIORATED
Top2000,2000,10898773057384,0.0015783490362944455,540,10.0,pi_I,2000,10898773057383.999999999,-0.000000001,0.007313845159080375,378,0.0057354961227859295,-162,DETERIORATED,DETERIORATED
Top2000,2000,10898773057384,0.0015783490362944455,540,1.0,pi_T,2003,10898773057383.999999999,-0.000000001,0.0015802732238055198,528,1.9241875110743122e-06,-12,DETERIORATED,DETERIORATED
Top2000,2000,10898773057384,0.0015783490362944455,540,10.0,pi_T,2003,10898773057383.999999999,-0.000000001,0.0046117960527318333,381,0.0030334470164373878,-159,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,0.5,pi_I,37564,171831920736256.999999999,-0.000000001,5.1031723130872375e-05,11046,1.7472232697294029e-05,-116,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,2.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00020288721337453642,10692,0.00016932772294095806,-470,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,5.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.0009540727585450018,9950,0.00092051326811142344,-1212,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,0.5,pi_T,37567,171831920736256.999999999,-0.000000001,4.155806784983721e-05,11049,7.9985774162588636e-06,-113,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,2.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00016556386794574227,10695,0.00013200437751216391,-467,DETERIORATED,DETERIORATED
Full,37564,171831920736257,3.3559490433578346e-05,11162,5.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00086362077344963783,9953,0.00083006128301605947,-1209,DETERIORATED,DETERIORATED
