alpha,scenario,hhi
0.005,piD,3.323839670549162e-05
0.01,piD,3.2942807111994478e-05
0.02,piD,3.2431662024650027e-05
0.05,piD,3.1538499559815344e-05
0.1,piD,3.2184138109086351e-05
0.005,piI,5.103233401926637e-05
0.01,piI,8.5077141331030319e-05
0.02,piI,0.00020288616882866713
0.05,piI,0.0009540685543144487
0.1,piI,0.0035318902067669887
0.005,piT,4.1559230038824957e-05
0.01,piT,6.6226140445327811e-05
0.02,piT,0.00016556499535798336
0.05,piT,0.00086362183289314884
0.1,piT,0.00336051747144242
