alpha,k,scenario,hhi
0.05,1,piI,0.0027090290238067577
0.05,3,piI,0.0009540685543144487
0.05,5,piI,0.00059893020787791422
0.1,1,piI,0.010365850394576978
0.1,3,piI,0.0035318902067669887
0.1,5,piI,0.0021572421117644321
0.05,1,piT,0.0025302884995598157
0.05,3,piT,0.00086362183289314884
0.05,5,piT,0.00053028849955981546
0.1,1,piT,0.010027184138109088
0.1,3,piT,0.00336051747144242
0.1,5,piT,0.0020271841381090867
